ID,Title,Description,Revisited Description,Target node/choices
N1,START,MRS BROWN: Come inside everyone! Recess is over! You see all the kids run back into the school one after the other. Your favourite ball is stuck in the tree and you won't leave without it. Should you try to jump and reach the ball? Try to climb up the tree? Or throw something at it? What do you do?,,C1,C2,C3
N2,jump,You continue to jump underneth the tree where your ball is. After a while you get tired and you don't seem to be making any progress. Maybe you should try something else,,N1
N3,climb,In an effort to obtain your ball you climb up the tree. It's not easy but you make it in the end. You shake the branch a few times and it falls down to the ground. You pick it up after you climb down from the tree. Now you've got your ball you should head back to class.,,N5
N4,throw,You pick up a nearby rock and throw it at your ball. It doesn't move so you pick up an even bigger stone and throw it. This time it budges a little. You continue until it falls down. Now you've got your ball you should head back to class.,,N5
N5,head to door,You head back to the school building but the door is locked. You shouldn't of stayed out so long.You look around for ways to get in.You see a half open window next to you that you could pry open.But you also know the janitor leaves his keys under a rock for the basement which connects up to the hallway.Or You could grab another big rock and smash the glass door.What do you do?,you went back,C4,C5,C6
N6,window,Grabing a nearby slim stick you attempt to undo the latch on the window in order to get inside.But as soon as you start to see some progress the stick snaps.The window is nearly open you just need one more try.continue?,you head back to the window.do you want to continue?,C7,C8
N7,basement,ruding through the tall grass you make your way to the school basement doors.You pick up the very suspicious rock and grab the keys from underneith it.You unlock the two wooden doors and walk down slowly down the steps into the darkness.The basement of the school was never in good condition.There was water driping from pipes piles of boxes stack in dirty shelfs and the floor is always damp.You head to light switch so you can see better but as you start walking the natural light starts to dim and the basement door shuts behind you.You quickly run to the switch and flick it on. After a few sparks the light turns on.It barely gives enough light for you to see but at least you spot the door to the school.Should you head there or investigate the basement door?,you head back to the basement door,C9,C10
N8,smash,The other options sound to boring. So you try to brute force your way through the obstacle.Grabbing a giant rock near you. You chuck it at the door with as much force as you can muster.he glass breaks on impact leaving a giant whole in the school door.You're not quite sure why you did that... But you don't want to be around when someone finds out.ou quickly climb throw the hole and into the dark school.The glass underneith you cracks as you step over it into the school hallway...,,N5
N9,continue window,Picking up another stick you easily undo the latch and are able to get inside the school.You hop through the window and stand up inside a classroom.The lights are off and it's completely empty.You head over to the door and step into the hall...,,N6
N10,continue basement,You walk over to the basement door and feel around in the darkness.There's no lock on the inside. So whoever must've shut you in did it from the outside.You bang against the door and find it locked even though you have the only keys.Unsatisfied and slightly scared you dash to the school door and unlock it with the janitor's keys.The door makes a loud creek as you steep inside...,,N7
